question	answer	question_seg	question_seg_stop
保险、基金等公司在上交所大宗交易申报中营业部代码怎么填写？	保险、基金等公司在上交所大宗交易申报中营业部代码可填写五个零。	['保险', '基金', '等', '公司', '在', '上交所', '大宗', '交易', '申报', '中', '营业部', '代码', '怎么', '填写']	 保险 基金 公司 上交所 大宗 交易 申报 中 营业部 代码 填写
2016年新股网上发行办法修改的主要内容是什么？	本次修改的主要内容包括一是取消了投资者在申购委托时应全额缴纳申购资金的规定，明确了投资者应根据最终确定的发行价格与中签数量缴纳申购款的要求及相关业务流程。二是明确投资者连续12个月内累计出现3次中签但未足额缴纳认购资金情形的，将被列入限制申购名单，自其最近一次放弃认购次日起的180日（含次日）内不得参与网上新股申购。三是要求投资者自主表达申购意向，证券公司不得接受投资者全权委托代其进行新股申购。四是明确了由于投资者资金不足放弃认购的中签新股由主承销商负责包销或根据发行人和主承销商事先确定并披露的其他方式处理。	['年', '新股', '网上', '发行', '办法', '修改', '的', '主要', '内容', '是', '什么']	 年 新股 网上 发行 办法 修改 主要 内容
目前收到的非交易文件有两个（fjyYYYYMMDD和fjyMMDD），以哪个为准？	以fjyYYYYMMDD为准；fjyMMDD日后会下线。	['目前', '收到', '的', '非', '交易', '文件', '有', '两个', '和', '以', '哪个', '为准']	 目前 收到 非 交易 文件 两个 为准
上海证券交易所哪些债券品种实行全价交易？	上海证券交易所可转债是全价交易，其他债券现货产品实行净价交易。	['上海证券交易所', '哪些', '债券', '品种', '实行', '全价', '交易']	 上海证券交易所 债券 品种 实行 全价 交易
因结算参与人资金不足以完成新股认购资金交收，导致投资者新股认购被确认无效认购的，是否计入该投资者放弃认购的情形？	这种情形不计入该投资者放弃认购的情形。因结算参与人资金不足而产生的后果及相关法律责任，由该结算参与人承担。	['因', '结算', '参与人', '资金', '不足以', '完成', '新股', '认购', '资金', '交收', '导致', '投资者', '新股', '认购', '被', '确认', '无效', '认购', '的', '是否', '计入', '该', '投资者', '放弃', '认购', '的', '情形']	 结算 参与人 资金 不足以 完成 新股 认购 资金 交收 导致 投资者 新股 认购 确认 无效 认购 是否 计入 投资者 放弃 认购 情形
ipogh里“重复申购”和“违规重复”有什么区别？		['里', '重复', '申购', '和', '违规', '重复', '有', '什么', '区别']	 里 重复 申购 违规 重复 区别
竞价平台调整行情接口mktdt00.txt中第9个字段MDSesStatus取值，增加上海市场行情结束标记后，行情转换工具EzMTT还可以正常使用吗？	行情接口mktdt00.txt中第9个字段MDSesStatus，增加上海市场行情结束标记后，行情转换工具EzMTT可以正常使用。	['竞价', '平台', '调整', '行情', '接口', '中', '第个', '字', '段', '取值', '增加', '上海', '市场行情', '结束', '标记', '后', '行情', '转换', '工具', '还', '可以', '正常', '使用', '吗']	 竞价 平台 调整 行情 接口 中 第个 字 段 取值 增加 上海 市场行情 结束 标记 后 行情 转换 工具 还 正常 使用
网下IPO平台是否兼容IE11？	目前暂不兼容，建议使用IE8或者把IE11设置成兼容模式。	['网', '下', '平台', '是否', '兼容']	 网 下 平台 是否 兼容
字段9MDSesStatus新增状态含义？	第3位表示市场行情结束标志，上海市场和跨市场所有产品闭市后取‘1’，未结束取‘0’第4位表示上海市场行情结束标志，上海市场所有产品闭市后取‘1’，未结束取‘0’。注目前新增字段未正式生效。	['字', '段', '新增', '状态', '含义']	 字 段 新增 状态 含义
固定收益平台登录时，为什么提示自动更新客户端失败？	该提示说明固定收益平台客户端版本有更新，可以尝试在桌面上选中固定收益平台图标，“右键”-“以管理员身份运行”或者插入Ekey后登录到提示的网站地址手动下载。	['固定', '收益', '平台', '登录', '时', '为什么', '提示', '自动更新', '客户端', '失败']	 固定 收益 平台 登录 时 提示 自动更新 客户端 失败
不同业务PBU的reff是否可以相同？同一个业务PBU，不同业务类型，比如跨境和转融通，reff是否可以相同？	不同业务PBU的reff可以相同。同一个业务PBU的不同业务类型之间，reff不可以相同，所以跨境和转融通，reff不能相同。	['不同', '业务', '的', '是否', '可以', '相同', '同一个', '业务', '不同', '业务', '类型', '比如', '跨境', '和', '转', '融通', '是否', '可以', '相同']	 不同 业务 是否 相同 同一个 业务 不同 业务 类型 跨境 转 融通 是否 相同
什么是登录PBU？什么是业务PBU？	登录PBU为EzSTEP登录交易所时采用的PBU，承载申报流速权；业务PBU为业务许可，同时需要与账号有指定或指定联通圈关系。	['什么', '是', '登录', '什么', '是', '业务']	 登录 业务
同一套EzSTEP接口库，是否可以申报不同业务？同一种业务，是否可以通过多个EzSTEP报盘申报？同一个业务PBU，是否可以通过不同登陆PBU申报？	同一套EzSTEP接口库，可以申报不同业务。同一种业务，可以通过多个EzSTEP报盘申报。同一个业务PBU，可以通过不同登陆PBU申报。	['同', '一套', '接口', '库', '是否', '可以', '申报', '不同', '业务', '同', '一种', '业务', '是否', '可以', '通过', '多个', '报盘', '申报', '同一个', '业务', '是否', '可以', '通过', '不同', '登陆', '申报']	 一套 接口 库 是否 申报 不同 业务 一种 业务 是否 多个 报盘 申报 同一个 业务 是否 不同 登陆 申报
指数熔断在股指期货合约交割日有哪些特殊的安排？	目前境内股指期货的交割结算价以现货标的指数交割日最后两个小时算术平均价格计算，为保证股指期货正常交割，指数熔断在股指期货交割日下午13:00开市后不再实施，具体包括两种情形一是13:00至15:00期间不再实施指数熔断；二是上午实施的指数熔断最迟在下午13:00起恢复交易。	['指数', '熔断', '在', '股指', '期货', '合约', '交割日', '有', '哪些', '特殊', '的', '安排']	 指数 熔断 股指 期货 合约 交割日 特殊 安排
投资者买卖风险警示股票和退市整理股票，能否采用市价委托方式？	《》第六条规定第六条投资者买卖风险警示股票和退市整理股票，应当采用限价委托方式。http://www.sse.com.cn/lawandrules/sserules/trading/stock/c/c_20170628_4334722.shtml	['投资者', '买卖', '风险', '警示', '股票', '和', '退市', '整理', '股票', '能否', '采用', '市价', '委托', '方式']	 投资者 买卖 风险 警示 股票 退市 整理 股票 能否 采用 市价 委托 方式
EzOES日常运维中有哪些注意事项？	EzOES日常运维中有如下注意事项（1）EzOES在每日启动时，会把上一个交易日的Log文件更名保存，市场参与者需要更新运维流程，安排定期对过期的Log文件进行备份和清除。防止旧文件在同一个目录下太多，导致系统文件访问缓慢，或者磁盘空间不足的问题。（2）EzOES需要每日闭市后退出，每日开市前开启。防止基础数据不能准确更新带来的问题。	['日常', '运维中', '有', '哪些', '注意事项']	 日常 运维中 注意事项
在固收平台进行债券交易报1022错超过价格波动限制，可申报的价格未超该债券的价格波动？	本平台固定收益证券交易实行价格涨跌幅限制，涨跌幅比例为10%。涨跌幅价格计算公式为涨跌幅价格=前一交易日参考价格X（1±10%）；，以此类推。	['在', '固收', '平台', '进行', '债券', '交易', '报错', '超过', '价格', '波动', '限制', '可', '申报', '的', '价格', '未超该', '债券', '的', '价格', '波动']	 固收 平台 进行 债券 交易 报错 超过 价格 波动 限制 申报 价格 未超该 债券 价格 波动
固定收益证券综合电子平台[交易端]如何下载当日和历史的zgh文件？	在交易端界面用户可以点击服务—>成交数据下载，并选择数据想要下载到的目录下载当日成交数据（zgh[xxx].dbf）。历史的zgh可以在交易员界面“查询统计—成交明细查询”中查询历史成交数据，并导出。	['固定', '收益', '证券', '综合', '电子', '平台', '交易', '端', '如何', '下载', '当日', '和', '历史', '的', '文件']	 固定 收益 证券 综合 电子 平台 交易 端 下载 当日 历史 文件
上交所官网信息披露中的交易所申报上限页面，显示所有*ST的申报上限都是500000股,但在<上海证券交易所交易规则(2015修订)>中并没有明确说明(3.4.9股票、基金、权证交易单笔申报最大数量应当不超过100万股（份），债券交易和债券质押式回购交易单笔申报最大数量应当不超过10万手，债券买断式回购交易单笔申报最大数量应当不超过5万手),那么*ST的申报上限是500000股有相关规则说明么?	《》第十条有如下规定第十条投资者当日通过竞价交易和大宗交易累计买入的单只风险警示股票，数量不得超过50万股。投资者当日累计买入风险警示股票数量，按照该投资者以本人名义开立的证券账户与融资融券信用证券账户的买入量合并计算；投资者委托买入数量与当日已买入数量及已申报买入但尚未成交、也未撤销的数量之和，不得超过50万股。会员应当采取有效措施，对投资者当日累计买入单只风险警示股票的数量进行监控；发现客户违反前两款规定的，应当予以警示和制止，并及时向本所报告。http://www.sse.com.cn/lawandrules/sserules/trading/stock/c/c_20170628_4334722.shtml	['上交所', '官网', '信息', '披露', '中', '的', '交易所', '申报', '上限', '页面', '显示', '所有', '的', '申报', '上限', '都', '是', '股', '但', '在', '上海证券交易所', '交易规则', '修订', '中', '并', '没有', '明确', '说明', '股票', '基金', '权证', '交易', '单笔', '申报', '最大', '数量', '应当', '不', '超过', '万', '股份', '债券', '交易', '和', '债券', '质押', '式', '回购', '交易', '单笔', '申报', '最大', '数量', '应当', '不', '超过', '万手', '债券', '买断式', '回购', '交易', '单笔', '申报', '最大', '数量', '应当', '不', '超过', '万手', '那么', '的', '申报', '上限', '是', '股有', '相关', '规则', '说明', '么']	 上交所 官网 信息 披露 中 交易所 申报 上限 页面 显示 所有 申报 上限 都 股 上海证券交易所 交易规则 修订 中 没有 明确 说明 股票 基金 权证 交易 单笔 申报 最大 数量 应当 不 超过 股份 债券 交易 债券 质押 式 回购 交易 单笔 申报 最大 数量 应当 不 超过 万手 债券 买断式 回购 交易 单笔 申报 最大 数量 应当 不 超过 万手 申报 上限 股有 相关 规则 说明
上海市场证券投资基金账户能否进行新股申购？	上海市场证券投资基金账户可以进行新股申购。中签后只能卖出该股票，证券投资基金账户不允许买入股票，买入股票报废单并提示“投资者无此类型产品买入权限”。	['上海', '市场', '证券', '投资', '基金', '账户', '能否', '进行', '新股申购']	 上海 市场 证券 投资 基金 账户 能否 进行 新股申购
上交所相关软件使用的端口规则是怎样的？	上交所相关软件使用的端口规则是报盘程序（EzOES、EzSTEP）使用的端口号1@@05、1@@06(TCP)；EzTrans使用的端口号1@@15、1@@16(TCP)；EzSR使用的端口号9@@5(TCP)、34@@(UDP)；注@@为环境号。	['上交所', '相关', '软件', '使用', '的', '端口', '规则', '是', '怎样', '的']	 上交所 相关 软件 使用 端口 规则
打开固定收益平台提示'YYYY-MM-DDHH:MM:SS'isnotavaliddateandtime？	在控制面板中选择“时钟、语言和区域”，在“区域和语言”选项中将短日期格式设置为“yyyy-MM-dd”即可。	['打开', '固定', '收益', '平台', '提示']	 打开 固定 收益 平台 提示
债券质押式回购的价格涨跌幅限制是怎样的？	债券质押式回购价格单边控制，卖出申报价格必须不低于买一的90%，买入申报价格必须不高于卖一的110%，如无实时买一或卖一，参考开盘价，如无开盘价，参考前收盘价，上述规则只在连续竞价时有效，集合竞价无限制。	['债券', '质押', '式', '回购', '的', '价格', '涨跌幅', '限制', '是', '怎样', '的']	 债券 质押 式 回购 价格 涨跌幅 限制
固定收益平台使用集中报盘方式，登录时报错“1800信息包重复，请手工查询处理结果”，请问怎么解决？	可以尝试切换到备用地址或多点击登录几次。	['固定', '收益', '平台', '使用', '集中', '报盘', '方式', '登录', '时报', '错', '信息', '包', '重复', '请', '手工', '查询处理', '结果', '请问', '怎么', '解决']	 固定 收益 平台 使用 集中 报盘 方式 登录 时报 错 信息 包 重复 请 手工 查询处理 请问 解决
交易型货币市场基金申购、赎回业务的申报时段是9:30-11:30、13:00-15:00吗？	最开始该业务的申报时段确实如此。为更好地适应市场发展需要，上海证券交易所对相关业务申报时间进行了调整。调整后该业务申报时段为9:15-9:25、9:30-11:30、13:00-15:00。其他相关业务申报时段调整情况请参考http://www.sse.com.cn/lawandrules/sserules/trading/universal/c/c_20150906_3976411.shtml	['交易', '型', '货币', '市场', '基金', '申购', '赎回', '业务', '的', '申报', '时段', '是', '吗']	 交易 型 货币 市场 基金 申购 赎回 业务 申报 时段
基金公司在上市前在生产环境测试基金pcf文件上传，返回报错“不存在的ETF文件类型”，是什么原因？	因基金离发行上市还有一段时间，交易所未把该基金配置进后台，故上传该基金pcf文件会报错“不存在的ETF文件类型”。	['基金', '公司', '在', '上市', '前', '在', '生产', '环境', '测试', '基金', '文件', '上传', '返回', '报错', '不', '存在', '的', '文件类型', '是', '什么', '原因']	 基金 公司 上市 前 生产 环境 测试 基金 文件 上传 返回 报错 不 存在 文件类型 原因
融资融券账户的信用买入可以买入哪些产品，是否可以买入ST股票？	根据《上海证券交易所市场参与者融资融券技术实施指引》4.1条，信用买入只能买入作为担保品的证券。具体以当日下发的dbpMMDD文件为准，若该文件中含有ST股票，则可以买入，否则不能买入。	['融资', '融券', '账户', '的', '信用', '买入', '可以', '买入', '哪些', '产品', '是否', '可以', '买入', '股票']	 融资 融券 账户 信用 买入 买入 产品 是否 买入 股票
在EzOES上修改PBU密码后，什么时候生效？	在EzOES上修改PBU密码后，竞价平台立即生效，综合业务平台、港股通平台、期权平台下一交易日生效，RPTGET或EzTrans软件登录，密码也是下一交易日生效。	['在', '上', '修改', '密码', '后', '什么', '时候', '生效']	 上 修改 密码 后 生效
在竞价平台，使用PBUA申报的订单能否用同一联通圈内的PBUB对该订单进行撤单？	在竞价平台，使用PBUA申报的订单不能用同一联通圈内的PBUB对该订单进行撤单。	['在', '竞价', '平台', '使用', '申报', '的', '订单', '能否', '用', '同一', '联通', '圈内', '的', '对', '该', '订单', '进行', '撤单']	 竞价 平台 使用 申报 订单 能否 同一 联通 圈内 订单 进行 撤单
固定收益平台申报价格涨跌幅怎么查看？	固定收益平台上债券交易的价格波动基数是参照“查询统计-证券查询-双击显示详情”里的上日加权平均价。涨跌幅比例为10%。	['固定', '收益', '平台', '申报', '价格', '涨跌幅', '怎么', '查看']	 固定 收益 平台 申报 价格 涨跌幅 查看
港股通股票的买卖盘报价规则及价位表是怎样的？	首先，在每个交易日，首个输入交易系统的买盘和卖盘是受一套开市报价规则所监管的。按照此规则，开市前时段内做出的开市报价不得偏离上个交易日的收市价（如有）的9倍或以上，也不得低于上个交易日的收市价（如有）九分之一或以下。在持续交易时段，（1）如果首个挂盘是买盘，那么其价格必须高于或者等于上个交易日收市价下24个价位的价格。（2）如果首个挂盘是卖盘，那么其价格必须低于或等于上个交易日收市价格之上24个价位的价格。此外，无论是买盘或卖盘，首个挂盘在任何情况下都不得偏离上个交易日收市价9倍或以上，也不得低于九分之一或以下。这里的“价位”是指证券交易所可允许的最小价格变动单位。有关开市报价的详细规定，投资者可以登录联交所网站，在“规则与监管”栏目下的“交易规则”选项中参阅《交易所规则》第503条了解。其次，非首个输入交易系统的买盘或卖盘报价规则为买盘或卖盘的价格不得偏离按盘价（也就是上个交易日的收市价）9倍或以上，也不得低于九分之一或以下，相关价位见下表（投资者可参阅《交易所规则》附表二，至于非开市买卖盘的报价规则可参阅《交易所规则》第505条至第507A条）。每种股票的价位（即最小报价单位）与股价有关。以下是证券（债券除外）的价位表，供参考上述报价规则一般不适用于竞价限价盘，但是竞价限价买卖盘的价格也不得偏离上个交易日收市价9倍或以上，也不得低于上个交易日收市价九分之一或以下。	['港股', '通', '股票', '的', '买卖', '盘', '报价', '规则', '及', '价位', '表是', '怎样', '的']	 港股 通 股票 买卖 盘 报价 规则 价位 表是
联交所买卖盘中的“竞价限价盘”和“增强限价盘”是指什么？	竞价限价盘是有指定价格的买卖盘，适用于开市前时段。其中，指定价格应等于最终参考平衡价格，或者较最终参考平衡价格更具有竞争力的竞价限价盘（也就是指定价格≥最终参考平衡价格的买盘，或者指定价格≤最终参考平衡价格的卖盘），或者可按照最终参考平衡价格进行对盘。竞价限价盘能否成交取决于交易对手方是否有足够可以配对的买卖盘。在开市前时段，竞价限价盘会根据价格及时间优先次序按最终参考平衡价格顺序对盘。在开市前时段结束后，任何未完成且输入价不偏离按盘价9倍或以上，也不低于按盘价九分之一或以下的竞价限价盘，都将自动转至持续交易时段，并且均被视为限价盘存于所输入价格的轮候队伍中。增强限价盘则适用于持续交易时段，投资者可以其指定或者更优的价格买入或卖出股票。增强限价盘可以同时与10条轮候队伍进行配对，也就是输入卖盘可以较最佳买盘价低9个价位，输入买盘可以较最佳卖盘价高9个价位。配对后，任何未能成交的买卖盘余额将按此前输入的指定限价转为一般限价盘，存于所输入价格的轮候队伍中。	['联交所', '买卖', '盘中', '的', '竞价', '限价', '盘', '和', '增强', '限价', '盘', '是', '指', '什么']	 联交所 买卖 盘中 竞价 限价 盘 增强 限价 盘 指
港股通投资者是否可以修改订单？	投资者的港股通订单如果已经申报的，那么不得更改申报价格或者申报数量，但在联交所允许撤销申报的时段内，未成交的申报可以撤销。联交所市场允许港股通投资者撤销申报的时段包括，交易日开市前时段的9:00-9:15（即输入买卖盘时段）、9:30-12:00和13:00-16:00（持续交易时段）。此外，港股通投资者可以在12:30-13:00的时段内撤销上午未成交的买卖盘申报。	['港股', '通', '投资者', '是否', '可以', '修改', '订单']	 港股 通 投资者 是否 修改 订单
为什么EzNTP有时会同步异常，并且点击同步按钮，同步的时间会大幅度改变，偏离正确时间？	EzNTP在连续多日运行后，可能会出现该现象。建议使用者定期重新启动EzNTP。	['为什么', '有时', '会', '同步', '异常', '并且', '点击', '同步', '按钮', '同步', '的', '时间', '会', '大幅度', '改变', '偏离', '正确', '时间']	 有时 会 同步 异常 点击 同步 按钮 同步 时间 会 大幅度 改变 偏离 正确 时间
什么是联交所的开市前时段？	联交所开市前时段是在早上开市前增设的交易时间，用以确定开市价。在开市前时段，买卖盘积累到一段时间后，会在预先设定的对盘时段中对盘（即报价撮合）。也就是买卖盘会以买卖盘类别、价格及时间等优先次序按“最终参考平衡价格”顺序对盘。在开市前时段，交易系统只接受输入“竞价盘”及“竞价限价盘”指令，其中，港股通投资者只可以输入“竞价限价盘”。在该时段，输入交易系统的买卖盘价格不可偏离上日收盘价或按盘价(最近参考平衡价)9倍或以上及少于九分之一或以下，每个买卖盘不得超过3,000手股份。联交所开市前时段又分为以下的交易时段投资者可以通过联交所网站“市场运作”项下的“证券交易运作”内“交易机制”栏目，了解更详细的交易规则与机制。	['什么', '是', '联交所', '的', '开市', '前', '时段']	 联交所 开市 前 时段
关于大宗交易的信息披露，买卖方营业部是怎样确定的？	对应大宗交易所属买卖方营业部的算法如下	['关于', '大宗', '交易', '的', '信息', '披露', '买卖方', '营业部', '是', '怎样', '确定', '的']	 大宗 交易 信息 披露 买卖方 营业部 确定
投资者参与港股通交易获得的权益证券如何处理？	港股通投资者因港股通股票权益分派、转换、上市公司被收购等情形或者交易异常情况，所取得的港股通股票以外的联交所上市证券，可以通过港股通卖出，但不得买入。港股通投资者因港股通股票权益分派或者转换等所取得的联交所上市股票的认购权利在联交所上市的，投资者可以通过港股通卖出，其行权等事宜按照中国证监会、中国结算的相关规定处理。港股通投资者因港股通股票权益分派、转换或者上市公司被收购等所取得的非联交所上市证券，可以享有相关权益，但不得通过港股通买入或者卖出。	['投资者', '参与', '港股', '通', '交易', '获得', '的', '权益', '证券', '如何', '处理']	 投资者 参与 港股 通 交易 获得 权益 证券 处理
台风及黑色暴雨警告对港股通交易时间会有什么影响？	由于地处台风和黑色暴雨的多发地，香港市场在处理台风和黑色暴雨对交易的影响上形成一套既定的成熟做法，即按照八号及以上台风和黑色暴雨警告（以下统称警报）发出时间为开市前时段之前、开市前时段期间以及持续交易时段期间等三个不同时段有不同的应对措施。具体安排如下	['台风', '及', '黑色', '暴雨', '警告', '对', '港股', '通', '交易', '时间', '会', '有', '什么', '影响']	 台风 黑色 暴雨 警告 港股 通 交易 时间 会 影响
港股交易的T+2交收制度是如何安排的？	港股通在证券交收时点上，实行T+2交收安排。T日买入港股的投资者，T+2日日终完成交收后才可获得相关证券的权益；T日卖出港股的投资者，T日和T+1日日终仍可享有关于证券的权益。	['港股', '交易', '的', '交收', '制度', '是', '如何', '安排', '的']	 港股 交易 交收 制度 安排
在T+2交收制度下，投资者的可交易股票数量是怎么确定的？	投资者证券账户内的港股通股票余额分为可交易数量、日终持有余额、未完成交收数量及冻结数量。其中，投资者的可交易数量=日终持有余额+未完成交收数量-冻结数量。投资者买入港股通股票时，未完成交收数量为正；投资者卖出港股通股票时，未完成交收数量为负。	['在', '交收', '制度', '下', '投资者', '的', '可', '交易', '股票', '数量', '是', '怎么', '确定', '的']	 交收 制度 下 投资者 交易 股票 数量 确定
港股通交易的指定交易与转指定、撤销指定是怎样的？	内地投资者参与港股通交易，适用目前上交所关于指定交易的相关规定，实行全面指定交易制度。对于新办理或者变更指定交易的，自下一个港股通交易日起，才可进行港股通交易。投资者存在当日有交易行为、当日有申报、有交易未完成交收或者上交所业务规则规定的其他情形的，不得撤销指定交易。	['港股', '通', '交易', '的', '指定', '交易', '与', '转', '指定', '撤销', '指定', '是', '怎样', '的']	 港股 通 交易 指定 交易 转 指定 撤销 指定
投资者买入或卖出港股通股票在半个交易日也可以正常交收吗？	圣诞前夕(12月24日)、元旦前夕(12月31日)或者农历新年前夕，如果不是周末，那么，香港市场将仅有半天交易，且该半日不是港股通交收日。届时，半日市（L日）、半日市前一交易日（L-1日）交易证券的交收均在L+2日完成。举个例子，如果投资者在12月22日买入一手港股通股票，那么，其买入的该股票在12月24日（该日非周末）不进行交收，而是在圣诞节假期后第一个港股通交易日进行交收。这样，港股通投资者的证券和资金将不能及时到帐，所以，投资者要提前做好相应的资金管理。	['投资者', '买入', '或', '卖出', '港股', '通', '股票', '在', '半个', '交易日', '也', '可以', '正常', '交收', '吗']	 投资者 买入 卖出 港股 通 股票 半个 交易日 也 正常 交收
通过ETF投资蓝筹股有哪些优势？	通过ETF投资蓝筹股存在“三省”的优势一是省力，解决了选股难题。投资蓝筹ETF，实际等同于投资蓝筹指数，进行分散化投资，从而免去个股选择的麻烦。二是省钱，即投资成本低廉。若交易费率按万分之五来算，由于ETF交易免缴印花税，买卖一来回ETF的交易费用可比买卖一来回股票的交易费节约50%。三是省心，在于ETF运作透明。ETF被动跟踪指数，每日公布投资组合情况,投资者无需担心基金经理投资水平和道德风险等因素。	['通过', '投资', '蓝筹股', '有', '哪些', '优势']	 投资 蓝筹股 优势
港股通投资者如何行使投资者权利？	内地投资者持有的港股，由中国结算在香港结算开立证券账户，代所有内地投资者名义持有并存管于香港结算，并最终以香港结算代理人的名义出现在港股上市公司的股东名册中。中国结算作为内地港股通投资者的名义持有人代其行使相关股东权利，并在充分征求投资者意愿后为后者提供港股通股票权益分派、投票等公司行为代理服务，从而充分保障内地投资者的权利。投资者可向指定交易的证券公司进行意愿申报，由中国结算根据从指定交易的证券公司处收集到投资者指示，并进行汇总后，再向香港结算办理。中国结算在向香港结算办理相关港股公司行为业务时，遵照香港结算相关业务规定。	['港股', '通', '投资者', '如何', '行使', '投资者', '权利']	 港股 通 投资者 行使 投资者 权利
在T+2交收制度下，投资者如何知道自己是否享有港股通股票权益？	T日买入港股的投资者，T+2日日终完成交收后才可获得相关证券的权益；T日卖出港股的投资者，T日和T+1日日终仍可享有相关证券的权益。	['在', '交收', '制度', '下', '投资者', '如何', '知道', '自己', '是否', '享有', '港股', '通', '股票', '权益']	 交收 制度 下 投资者 知道 是否 享有 港股 通 股票 权益
港股通股票的收市价如何计算？	在正常运作情况下，港股通股票的收市价按照持续交易时段最后一分钟内五个按盘价的中位数计算。系统由15:59整开始，每隔15秒录取股票按盘价一次，共摄取五个按盘价。按盘价是根据联交所《交易所规则》第101条规定，在比较了当时的买盘价、沽盘价及最后录得价后确定的。选五个时段按盘价的中位数可以尽量减少某一宗交易的成交价对收市价的影响。	['港股', '通', '股票', '的', '收市价', '如何', '计算']	 港股 通 股票 收市价 计算
港股通股票以“手”为买卖单位，少于一手的“碎股”如何交易？	联交所的交易系统不会为碎股提供自动对盘交易，而是在系统内设有“碎股/特别买卖单位市场”供碎股交易。目前，碎股买卖在联交所通过半自动对盘的方式进行，价格通常有所折让。目前，港股通投资者持有的碎股只能卖出，不能买入。	['港股', '通', '股票', '以手', '为', '买卖', '单位', '少于', '一手', '的', '碎', '股', '如何', '交易']	 港股 通 股票 以手 买卖 单位 少于 一手 碎 股 交易
港股通投资者在行使投资者权利时应关注哪些差异？	香港上市公司的投票等公司行为和内地市场差异较大，因此，港股通投资者在行使权利时要关注以下差异一是，由于中国结算需在汇总投资者的意愿后再向香港结算提交，所以，为确保在香港结算规定的时间内向其提交港股通投资者意愿征集结果，中国结算对内地投资者设定的意愿征集期将比香港结算的征集期稍早结束；二是，在港股通股票投票方面，投票可以没有权益登记日，此时以投票截止日的证券持有为计算标准。投资者对同一项议案，可以同时投赞成、反对和弃权票（如有）；三是，在现金红利派发业务（包括含选择权的红利派发业务）中，由于在收到香港结算派发的外币红利资金后，中国结算要进行换汇、清算、对内发放等多项业务处理，港股通投资者收到上市公司现金红利的实际到帐日要略晚于香港结算公布的派发日。此外，香港结算向中国结算派发的红利资金可能是美元、港币等外币，但中国结算派发给投资者的红利资金均为人民币；四是，送股业务及含股票股利选择权的红利业务派发的红股上市时间可能较香港市场延后。港股通股票发行人派发红股的，中国结算在收到香港结算派发红股到账当日或次日进行业务处理，相应红股可在处理日的下一港股通交易日上市交易。这样，港股通投资者红股可卖首日可能较香港市场晚一个港股通交易日。	['港股', '通', '投资者', '在', '行使', '投资者', '权利', '时应', '关注', '哪些', '差异']	 港股 通 投资者 行使 投资者 权利 时应 关注 差异
对港股通的投资规模是否实施额度控制？	对内地投资者投资联交所市场而言，港股通实施总额度控制和每日额度管理。在试点初期，遵循有序可控的原则，港股通总额度为2500亿元人民币，略小于沪股通总额度的3000亿元人民币。同时，港股通的每日额度为105亿元人民币，略低于沪股通的每日额度即130亿元人民币。交易期间，上交所证券交易服务公司在其指定网站暂定每5分钟公布当日额度余额。如果港股通当日额度余额使用完毕而停止买入申报，上交所证券交易服务公司将在其指定网站发布相关公告。投资者应关注网站登载的相关额度余额信息和公告。	['对', '港股', '通', '的', '投资规模', '是否', '实施', '额度', '控制']	 港股 通 投资规模 是否 实施 额度 控制
港股交易的开市价是怎样确定的？	在开市前时段，卖盘以买卖盘类别、价格及时间等优先次序（竞价盘享有优先的对盘次序），按“最终参考平衡价”顺序对盘，“最终参考平衡价”即为开市价。若开市前时段未产生对盘价格的，以当日第一笔成交价格作为开市价。	['港股', '交易', '的', '开市价', '是', '怎样', '确定', '的']	 港股 交易 开市价 确定
